Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Gallant, Thomas W.",HIEU 116B - Greece & the Balkans/1683-1914 (A),SP09,65,39,92.1 %,94.7 %,3.68,B+ (3.53),C+ (2.70)
"Gallant, Thomas W.",HIEU 117A - Greece & the Balkans/1683-1914 (A),SP09,65,39,92.1 %,94.7 %,3.68,B+ (3.53),C+ (2.70)
"Monteon, Michael P.",HILA 120 - History of Argentina (A),SP09,54,21,95.0 %,90.0 %,4.69,B+ (3.63),C+ (2.70)
"Edelman, Robert S.",HIEU 178 - Soviet History (A),FA17,10,5,80.0 %,100.0 %,6.5,A- (3.80),N/A
"Vitz, Matthew",HILA 162 - Special Topics/Latin Amer Hist (C),FA17,2,1,100.0 %,100.0 %,4.5,A (4.00),N/A
"Kernell, Samuel H.",No CAPEs submitted,FA17,3,0,N/A,N/A,N/A,N/A,N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (A),FA17,15,5,100.0 %,100.0 %,1.7,A (4.00),N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (B),FA17,15,13,100.0 %,100.0 %,1.27,A (4.00),N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (C),FA17,9,5,100.0 %,100.0 %,1.3,A (4.00),N/A
"Radcliff, Pamela B.",HIEU 151GS - Spain Since 1808 (A),S317,27,4,100.0 %,100.0 %,8.5,A- (3.75),N/A
"Dunai, Suzanne Elizabeth",HIEU 152 - Everyday Life/Dictatorial Soc (A),S217,18,8,100.0 %,100.0 %,10.5,B+ (3.38),N/A
"Patterson, Patrick H.",HIEU 152GS - Everyday Life/Dictatorial Soc (A),S217,27,24,95.8 %,100.0 %,10.42,A- (3.74),N/A
"Morales Fontanilla, Manuel Antonio",HILA 114 - Dictatorships in Latin America (A),S217,26,20,100.0 %,95.0 %,4.7,B+ (3.65),N/A
"Mendez, Alina Ramirez",HIUS 113 - History of Mexican America (A),S217,28,9,100.0 %,87.5 %,5.75,B+ (3.60),N/A
"Henderson, David Kenneth",HIEU 151 - Spain Since 1808 (A),S117,8,5,100.0 %,100.0 %,4.9,B+ (3.40),N/A
"Deavenport, James Cary",HILA 126 - Columbus to Castro:Carib.Cultr (A),S117,10,6,100.0 %,100.0 %,4.17,A- (3.80),N/A
"Man, Simeon S",HILD 7GS - Race & Ethnicity/Global World (A),S117,12,10,100.0 %,100.0 %,5.5,B+ (3.60),N/A
"Smuin, Benjamin James",HINE 120 - Middle East in the New Century (A),S117,10,8,100.0 %,100.0 %,5,B+ (3.43),N/A
"Man, Simeon S",HITO 115GS - The Global Cold War (A),S117,12,10,100.0 %,100.0 %,5.7,B+ (3.50),N/A
"Palhegyi, Joel David","HITO 156 - Div, Equity, Inclusion US/Eur (A)",S117,19,6,100.0 %,100.0 %,9.17,B+ (3.60),N/A
"Kwak, Nancy",HIUS 123 - History of New York City (A),S117,16,5,100.0 %,100.0 %,4.9,A (4.00),N/A
"Lu, Weijing",HIEA 171 - Society & Culture/Premod China (A),SP17,9,7,100.0 %,100.0 %,7.07,A- (3.83),N/A
"Petkas, Alexander J",HIEU 160 - Topics/Ancient Greek History (A),SP17,10,6,100.0 %,100.0 %,5.7,A- (3.80),N/A
"Biess, Frank Peter",HIEU 171 - Topic/Twentieth Century Europe (A),SP17,5,1,100.0 %,100.0 %,6.5,A (4.00),N/A
"Edington, Claire Ellen",HISC 109 - Invention of Tropical Disease (A),SP17,17,8,100.0 %,100.0 %,7.93,B+ (3.50),N/A
"Westman, Robert S",HISC 110 - Hist. Encounters/Sci.&Religion (A),SP17,11,10,100.0 %,100.0 %,2.9,B+ (3.30),N/A
"Golan, Tal","HISC 131 - Science, Technology, & Law (B)",SP17,18,6,100.0 %,100.0 %,3.17,A (4.00),N/A
"Golan, Tal",HISC 180 - Science and Public Policy (A),SP17,4,1,100.0 %,100.0 %,4.5,A (4.00),N/A
"Edelman, Robert S.",HITO 167 - Global History/Sports/Cold War (A),SP17,4,2,100.0 %,100.0 %,4.5,A (4.00),N/A
"Hanna, Mark G.",HITO 178 - Hist of Seafaring/Age of Sail (A),SP17,16,9,100.0 %,100.0 %,6.25,B+ (3.44),N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (A),SP17,8,5,100.0 %,100.0 %,2.1,A (4.00),N/A
"Edington, Claire Ellen",HITO 87 - Freshman Seminar (B),SP17,16,9,100.0 %,100.0 %,0.72,A (4.00),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (C),SP17,8,6,100.0 %,100.0 %,0.5,A (4.00),N/A
"Man, Simeon S",HIUS 177 - Asian American Histography (A),SP17,3,2,100.0 %,100.0 %,13.5,A (4.00),N/A
"Frolich, Margrit Luise",HIEU 171 - Topic/Twentieth Century Europe (A),WI17,9,1,0.0 %,0.0 %,0,N/A,N/A
"Radcliff, Pamela B.",HIEU 172 - Comparative European Fascism (A),WI17,8,6,100.0 %,83.3 %,12.17,B+ (3.50),N/A
"Hunefeldt, Christine",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI17,10,2,100.0 %,100.0 %,6.5,B+ (3.50),N/A
"Gere, Catherina M.",HISC 173 - Darwin & Darwinisms (A),WI17,7,4,100.0 %,100.0 %,5.5,A (4.00),N/A
"Patterson, Patrick H.",HITO 119 - Human Rights I: Introduction (A),WI17,12,10,100.0 %,100.0 %,7.9,A (4.00),N/A
"Johnson, Monte",HITO 87 - Freshman Seminar (A),WI17,7,3,100.0 %,100.0 %,2.5,N/A,N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (A),WI17,7,3,100.0 %,100.0 %,2.5,N/A,N/A
"Murillo, Dana V.",HITO 87 - Freshman Seminar (B),WI17,7,3,100.0 %,100.0 %,1.83,A (4.00),N/A
"Parrish, Michael E.",HIUS 151 - American Legal History 1865-P (A),WI17,14,5,60.0 %,80.0 %,3.7,B (3.00),N/A
"Man, Simeon S",HIUS 174 - Race Wars in American Culture (A),WI17,8,4,75.0 %,100.0 %,4.5,B (3.00),N/A
"Klein, Rachel",HIUS 188 - Topics in Culture & Politics (A),WI17,8,5,100.0 %,100.0 %,7.3,B+ (3.60),N/A
"Henry, Todd A.",HIEA 152 - Hist.&Cultures/Korean Diaspora (A),FA16,14,7,100.0 %,85.7 %,9.07,B (3.17),N/A
"Strasser, Ulrike",No CAPEs submitted,FA16,3,0,N/A,N/A,N/A,N/A,N/A
"Propp, William Henry",HINE 131 - Intro Old Testament: Poetic (A),FA16,10,4,66.7 %,66.7 %,3.17,B+ (3.33),N/A
"Goodblatt, David",HITO 104 - Jews & Judaism/Ancient&Medievl (A),FA16,19,8,85.7 %,100.0 %,3.83,B (3.00),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),FA16,1,1,0.0 %,0.0 %,0,N/A,N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),FA16,10,8,87.5 %,87.5 %,0.5,N/A,N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (B),FA16,16,9,100.0 %,100.0 %,1.75,A (4.00),N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (C),FA16,14,10,100.0 %,100.0 %,3.5,A (4.00),N/A
"Molina, Natalia",HIUS 129 - Race/Ethnicity-American Cities (A),FA16,14,11,90.9 %,90.9 %,6.5,B (3.20),N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),FA16,7,1,0.0 %,0.0 %,0,N/A,N/A
"Kwak, Nancy",HIUS 181 - Topics in 20th Century U.S. (A),FA16,9,4,100.0 %,100.0 %,6.5,A (4.00),N/A
"Graham, Jessica Lynn",HIUS 183 - Topics/African American Hist. (B),FA16,2,1,100.0 %,100.0 %,8.5,N/A,N/A
"Carmona Zabala, Juan",HIEU 116C - Greece/Balkans/20th Century (A),S216,6,5,100.0 %,100.0 %,14.1,B+ (3.60),N/A
"Brivio, Alessandra",HIEU 120 - The Renaissance in Italy (A),S216,17,15,93.3 %,100.0 %,6.36,B+ (3.62),N/A
"Chamberlin, Foster Pease",HIEU 151 - Spain Since 1808 (A),S216,16,14,85.7 %,100.0 %,5.79,B+ (3.42),N/A
"Morales Fontanilla, Manuel Antonio",HILA 103 - Revolution/Modern Latin Americ (A),S216,17,12,100.0 %,100.0 %,7.83,B+ (3.36),N/A
"Adamiak, Patrick John",HINE 114 - History/Islamic Middle East (A),S216,10,10,100.0 %,100.0 %,4.1,A- (3.88),N/A
"Patterson, Patrick H.","HITO 156 - Div, Equity, Inclusion US/Eur (A)",S216,18,17,100.0 %,100.0 %,8.5,A- (3.79),N/A
"West, Cameo Lyn Simone",HIUS 122 - History & Hollywood (A),S216,18,11,100.0 %,100.0 %,5.1,B+ (3.57),N/A
"Kwak, Nancy",HIUS 123 - History of New York City (A),S216,17,5,80.0 %,100.0 %,6.5,B+ (3.50),N/A
"Parrish, Michael E.",HIEU 121GS - Scotl/Engl Civil War 1601-1689 (A),S116,17,6,100.0 %,83.3 %,6.83,A- (3.83),N/A
"Sunu, Suleyman Emre",HIEU 127 - Sport in the Modern World (A),S116,16,11,100.0 %,100.0 %,5.3,B+ (3.56),N/A
"Terrell, Robert",HIEU 128 - Europe since 1945 (A),S116,17,13,100.0 %,100.0 %,6.32,B (3.00),N/A
"Patterson, Patrick H.",HIEU 153 - Topics/Modern European History (A),S116,15,15,100.0 %,100.0 %,7.43,B+ (3.64),N/A
"Sanchez-Lopez, Luis Eduardo",HILA 102 - Latin America/Twentieth Centry (A),S116,12,3,66.7 %,0.0 %,8.5,B+ (3.67),N/A
"Kokinis, Troy Andreas",HILA 120 - History of Argentina (A),S116,7,1,100.0 %,100.0 %,16.5,A (4.00),N/A
"Pina, Ulices",HILD 14 - Film & History in Latin Amer (A),S116,13,5,80.0 %,80.0 %,6.9,A (4.00),N/A
"Flach, Kathryn L",HILD 2C - United States History (A),S116,14,12,83.3 %,91.7 %,5.59,B+ (3.44),N/A
"Kwak, Nancy",HILD 7GS - Race & Ethnicity/Global World (A),S116,10,2,100.0 %,100.0 %,6.5,B+ (3.50),N/A
"Dryer, Theodora J",HISC 111 - The Atomic Bomb&the Atomic Age (A),S116,18,8,100.0 %,100.0 %,6.5,A (4.00),N/A
"Golan, Tal",No CAPEs submitted,S116,14,0,N/A,N/A,N/A,N/A,N/A
"Kwak, Nancy","HITO 118GS - Global Cities/Seoul, Korea (A)",S116,10,1,100.0 %,100.0 %,6.5,A (4.00),N/A
"Widener, Daniel","HIUS 114B - California Hist., 1850-Present (A)",S116,14,6,80.0 %,80.0 %,4.1,A (4.00),N/A
"Villegas, Mark Redondo",HIUS 124 - Asian American History (A),S116,12,1,100.0 %,100.0 %,4.5,A (4.00),N/A
"Frolich, Margrit Luise",HIEU 171 - Topic/Twentieth Century Europe (A),SP16,10,2,100.0 %,50.0 %,6.5,A (4.00),N/A
"Propp, William Henry",HINE 130 - Intro Old Testament:Historical (A),SP16,17,16,81.3 %,81.3 %,5.75,B+ (3.36),N/A
"Goodblatt, David",HINE 170 - Special Tops/Jewish History (A),SP16,8,1,100.0 %,100.0 %,6.5,A (4.00),N/A
"Golan, Tal",HITO 87 - Freshman Seminar (B),SP16,8,3,100.0 %,100.0 %,0.5,N/A,N/A
"Man, Simeon S",HIUS 174 - Race Wars in American Culture (A),SP16,13,6,100.0 %,100.0 %,4.5,B+ (3.60),N/A
"Demetriou, Denise",HIEU 160 - Topics/Ancient Greek History (A),WI16,6,3,100.0 %,100.0 %,9.83,B+ (3.33),N/A
"Edelman, Robert S.",HIEU 178 - Soviet History (A),WI16,10,2,50.0 %,50.0 %,7.5,B (3.00),N/A
"Gallant, Thomas W.",HIEU 183 - Social Hist/Mediterranean (A),WI16,5,1,100.0 %,100.0 %,8.5,A (4.00),N/A
"Monteon, Michael P.",HILA 120 - History of Argentina (A),WI16,11,4,75.0 %,50.0 %,2.5,B+ (3.50),N/A
"Murillo, Dana V.",HILA 161 - History/Women in Latin America (A),WI16,5,1,100.0 %,100.0 %,6.5,A (4.00),N/A
"Golan, Tal",HISC 180 - Science and Public Policy (A),WI16,7,2,100.0 %,100.0 %,7.5,A (4.00),N/A
"Patterson, Patrick H.",HITO 119 - Human Rights I: Introduction (A),WI16,15,11,100.0 %,100.0 %,8.14,A- (3.70),N/A
"Hanna, Mark G.",HITO 178 - Hist of Seafaring/Age of Sail (A),WI16,10,2,100.0 %,100.0 %,6.5,A (4.00),N/A
"Kernell, Samuel H.",No CAPEs submitted,WI16,1,0,N/A,N/A,N/A,N/A,N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),WI16,8,7,100.0 %,100.0 %,1.64,A (4.00),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (C),WI16,11,6,83.3 %,100.0 %,2.17,N/A,N/A
"Prestholdt, Jeremy",HITO 87 - Freshman Seminar (D),WI16,6,5,100.0 %,100.0 %,2.5,A (4.00),N/A
"Molina, Natalia Margarita",HIUS 129 - Race/Ethnicity-American Cities (A),WI16,10,7,100.0 %,100.0 %,4.79,B+ (3.57),N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),WI16,4,1,100.0 %,0.0 %,10.5,B (3.00),N/A
"Shin, Layoung",HIEA 180 - Topics/Modern Korean History (A),FA15,8,4,100.0 %,100.0 %,6.5,B+ (3.67),N/A
"Demetriou, Denise",HIEU 160 - Topics/Ancient Greek History (A),FA15,9,4,100.0 %,100.0 %,8.5,B (3.00),N/A
"Biess, Frank Peter",HIEU 171 - Topic/Twentieth Century Europe (A),FA15,6,2,100.0 %,100.0 %,7.5,A (4.00),N/A
"Hughes, Judith M.",HIEU 174 - The Holocaust:Psychol Approach (A),FA15,10,5,60.0 %,60.0 %,7.3,B (3.20),N/A
"Kayali, Hasan",HINE 186 - Topics/Middle Eastern History (A),FA15,7,5,100.0 %,80.0 %,9.7,B+ (3.40),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),FA15,2,2,100.0 %,100.0 %,0,N/A,N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (B),FA15,14,11,100.0 %,100.0 %,0.68,B+ (3.50),N/A
"Prestholdt, Jeremy",HITO 87 - Freshman Seminar (C),FA15,11,5,80.0 %,80.0 %,4.9,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (D),FA15,17,11,90.9 %,90.9 %,0.68,A (4.00),N/A
"Sine, Elizabeth E",HIUS 144 - Topics in U.S. History (A),FA15,14,11,100.0 %,100.0 %,9.05,B+ (3.43),N/A
"Hendrickson, Gerald M.",HIUS 181 - Topics in 20th Century U.S. (B),FA15,13,5,100.0 %,100.0 %,10.9,B+ (3.60),N/A
"Monteon, Michael P.",HILA 132 - History of Contemporary Mexico (A),S215,14,2,100.0 %,100.0 %,6.5,B (3.00),N/A
"Smuin, Benjamin James",HINE 118 - Middle East/Twentieth Century (A),S215,15,4,100.0 %,75.0 %,8,A (4.00),N/A
"Hineline, Mark Lawrence",HISC 104 - History of Popular Science (A),S215,17,6,100.0 %,100.0 %,6.17,B+ (3.50),N/A
"Nelson, Kristopher",HIUS 151 - American Legal History 1865-P (A),S215,12,5,100.0 %,100.0 %,5.3,A- (3.80),N/A
"Patterson, Patrick H.",HIEU 153 - Topics/Modern European History (A),S115,14,12,100.0 %,100.0 %,9.33,B+ (3.64),N/A
"Pina, Ulices",HILA 113 - Lord&Peasant in Latin America (A),S115,11,5,100.0 %,100.0 %,9.5,A- (3.75),N/A
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),S115,19,7,100.0 %,100.0 %,2.21,B+ (3.57),N/A
"Schneewind, Sarah",HIEA 166 - Creating Ming Histories (A),SP15,9,6,100.0 %,100.0 %,7.3,B+ (3.60),N/A
"Watts, Edward J.",HIEU 161 - Topics in Roman History (A),SP15,12,3,100.0 %,100.0 %,5.83,A (4.00),N/A
"Caciola, Nancy A",HIEU 163 - Special Topics/Medievl History (A),SP15,11,2,0.0 %,0.0 %,14.5,B (3.00),N/A
"Hertz, Deborah",HIEU 176 - Politics in the Jewish Past (A),SP15,6,3,100.0 %,100.0 %,9.83,B+ (3.67),N/A
"Hunefeldt, Christine",No CAPEs submitted,SP15,2,0,N/A,N/A,N/A,N/A,N/A
"Hunefeldt, Christine",HILA 164 - Women's Work & Family Life (A),SP15,2,1,100.0 %,0.0 %,4.5,A (4.00),N/A
"Provence, Michael",HINE 165 - Colonial Mandates/Middle East (A),SP15,10,4,100.0 %,100.0 %,13.5,B+ (3.50),N/A
"Goodblatt, David",HINE 170 - Special Tops/Jewish History (A),SP15,10,3,100.0 %,100.0 %,4.5,B (3.00),N/A
"Kwak, Nancy",HITO 192 - Senior Seminar in History (A),SP15,11,7,100.0 %,100.0 %,1.83,N/A,N/A
"Biess, Frank Peter",HITO 192 - Senior Seminar in History (B),SP15,13,4,100.0 %,100.0 %,2,N/A,N/A
"Johnson, Monte",HITO 87 - Freshman Seminar (B),SP15,5,2,50.0 %,100.0 %,0.5,N/A,N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (B),SP15,5,2,50.0 %,50.0 %,0.5,N/A,N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (C),SP15,9,6,100.0 %,100.0 %,3.17,N/A,N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (D),SP15,7,5,100.0 %,100.0 %,2.1,N/A,N/A
"Hendrickson, Gerald M.",HIUS 186 - Topics in U.S. Economic Histry (A),SP15,13,9,100.0 %,100.0 %,8.28,B+ (3.56),N/A
"Lu, Weijing",HIEA 171 - Society & Culture/Premod China (A),WI15,7,2,100.0 %,100.0 %,6.5,B (3.00),N/A
"Kim, Han Sang",HIEA 180 - Topics/Modern Korean History (A),WI15,4,1,100.0 %,100.0 %,4.5,A (4.00),N/A
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),WI15,18,9,88.9 %,66.7 %,7.39,B+ (3.56),N/A
"Edelman, Robert S.",No CAPEs submitted,WI15,3,0,N/A,N/A,N/A,N/A,N/A
"Gallant, Thomas W.",HIEU 183 - Social Hist/Mediterranean (A),WI15,12,2,100.0 %,100.0 %,7.5,B (3.00),N/A
"Hunefeldt, Christine",HILA 101 - Lat Amer Independnce 1810-1898 (A),WI15,19,10,66.7 %,66.7 %,4.72,B (3.17),N/A
"Vitz, Matthew",HILA 162 - Special Topics/Latin Amer Hist (A),WI15,3,3,100.0 %,100.0 %,8.5,N/A,N/A
"Van Young, Eric",No CAPEs submitted,WI15,1,0,N/A,N/A,N/A,N/A,N/A
"Goodblatt, David",HINE 103 - The Jewish Diaspora/Antiquity (A),WI15,17,8,100.0 %,100.0 %,3.5,B+ (3.40),N/A
"Gere, Catherina M.",No CAPEs submitted,WI15,4,0,N/A,N/A,N/A,N/A,N/A
"Hertz, Deborah",HITO 106 - Love & Family in Jewish Past (A),WI15,11,10,88.9 %,88.9 %,5.17,B+ (3.33),N/A
"Patterson, Patrick H.",HITO 119 - Human Rights I: Introduction (A),WI15,8,3,100.0 %,100.0 %,6.5,B+ (3.50),N/A
"Henry, Todd A.",HITO 165 - Topics-LGBT History (A),WI15,7,1,100.0 %,100.0 %,4.5,A (4.00),N/A
"Hanna, Mark G.",HITO 178 - Hist of Seafaring/Age of Sail (A),WI15,13,6,100.0 %,100.0 %,6.5,B+ (3.33),N/A
"Prestholdt, Jeremy",HITO 87 - Freshman Seminar (A),WI15,10,6,80.0 %,100.0 %,1.7,A (4.00),N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (B),WI15,12,5,100.0 %,100.0 %,0.9,A (4.00),N/A
"Zollman, Joellyn",HIUS 118 - How Jews Became American (A),WI15,8,3,100.0 %,100.0 %,4.5,B+ (3.67),N/A
"Molina, Natalia Margarita",HIUS 129 - Race/Ethnicity-American Cities (A),WI15,9,5,100.0 %,100.0 %,4.1,B+ (3.40),N/A
"Cahill, Suzanne",HIEA 168 - T/Classical&Medieval Chinese H (A),FA14,7,6,80.0 %,100.0 %,9.7,B (3.25),N/A
"Vitz, Matthew Werner",HILA 131 - History of Mexico:1821-1924 (A),FA14,60,22,94.4 %,100.0 %,4.83,B+ (3.53),N/A
"Van Young, Eric",No CAPEs submitted,FA14,1,0,N/A,N/A,N/A,N/A,N/A
"Goodblatt, David",HITO 104 - Jews & Judaism/Ancient&Medievl (A),FA14,18,11,72.7 %,81.8 %,5.05,B (3.09),N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),FA14,19,12,100.0 %,100.0 %,2.5,N/A,N/A
"Prestholdt, Jeremy",HITO 87 - Freshman Seminar (B),FA14,9,6,100.0 %,100.0 %,1.5,A (4.00),N/A
"Golan, Tal",HITO 87 - Freshman Seminar (C),FA14,18,8,75.0 %,75.0 %,0.75,N/A,N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),FA14,14,5,100.0 %,100.0 %,8,B+ (3.50),N/A
"Patterson, Patrick H.",HIEU 153 - Topics/Modern European History (A),S214,18,12,100.0 %,100.0 %,6.5,B+ (3.64),N/A
"Monteon, Michael P.",HILA 103 - Revolution/Modern Latin Americ (A),S214,9,3,100.0 %,100.0 %,11.83,B+ (3.67),N/A
"Herbst, Matthew",HITO 124 - Mystical Traditions (A),S214,10,8,100.0 %,100.0 %,9.75,B (3.00),N/A
"Vandevelde, Kenneth Joseph",HIUS 152A - Constitutional Hist/US to 1865 (A),S214,14,6,100.0 %,100.0 %,4.9,B (3.25),N/A
"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),S114,10,2,100.0 %,100.0 %,5.5,A (4.00),N/A
"Reynolds, Edward",HIAF 120 - History of South Africa (A),S114,6,1,100.0 %,100.0 %,8.5,A (4.00),N/A
"O'Keefe, Amy Merrill",HIEA 131 - China/War & Revolution 1911-49 (A),S114,13,11,100.0 %,100.0 %,5.59,A- (3.70),N/A
"Herbst, Matthew",HIEA 139GS - Intro Southeast Asia 800-1900 (A),S114,15,15,100.0 %,100.0 %,8.77,B (3.27),N/A
"Miano, David Ringo",HIEU 105 - The Early Christian Church (A),S114,16,3,66.7 %,100.0 %,7.83,B+ (3.50),N/A
"Long, Robert L",HIEU 144 - Topics in European History (A),S114,7,6,100.0 %,100.0 %,4.17,B+ (3.60),N/A
"Patterson, Patrick H.",HIEU 153 - Topics/Modern European History (A),S114,16,14,100.0 %,100.0 %,7.5,B+ (3.57),N/A
"Strom, Megan C.",HILA 114 - Dictatorship in Latin America (A),S114,8,7,71.4 %,100.0 %,6.79,B+ (3.50),N/A
"Rios, Gerardo",HILA 131 - History of Mexico:1821-1924 (A),S114,12,3,100.0 %,100.0 %,15.17,B+ (3.50),N/A
"Shrader, James H",No CAPEs submitted,S114,4,0,N/A,N/A,N/A,N/A,N/A
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),S114,16,4,100.0 %,100.0 %,3.5,A (4.00),N/A
"Golan, Tal",HISC 107 - Emergence of Modern Science (A),S114,8,2,100.0 %,100.0 %,1.5,A (4.00),N/A
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",S114,7,3,100.0 %,66.7 %,3.83,A (4.00),N/A
"Parrish, Michael E.",No CAPEs submitted,S114,20,0,N/A,N/A,N/A,N/A,N/A
"Patterson, Patrick H.","HITO 156 - Div, Equity, Inclusion US/Eur (A)",S114,15,15,93.3 %,100.0 %,9.3,B+ (3.62),N/A
"Hineline, Mark Lawrence",HIUS 143 - Built Env 20th Cent. (A),S114,8,6,83.3 %,100.0 %,4.5,A (4.00),N/A
"Alvarez, Luis A","HIUS 146 - Race, Riots & Violence in U.S. (A)",S114,18,6,100.0 %,83.3 %,4.9,A (4.00),N/A
"Nelson, Kristopher",HIUS 151 - American Legal History 1865-P (A),S114,11,2,100.0 %,100.0 %,6.5,A (4.00),N/A
"Alvarez, Luis A",HIUS 155 - Zoot Suit-HipHop:Race-Pop Cult (A),S114,11,2,100.0 %,100.0 %,6.5,A (4.00),N/A
"Lu, Weijing",HIEA 138 - Women & the Chinese Revolution (A),SP14,19,3,100.0 %,100.0 %,1.83,B (3.00),N/A
"Gerth, Karl G.",HIEA 140 - China Contemporary World (A),SP14,17,8,100.0 %,71.4 %,5.3,B (3.00),N/A
"Hillman, Susanne",HIEU 125 - Reformation Europe (A),SP14,15,5,75.0 %,75.0 %,3.17,B+ (3.33),N/A
"Watts, Edward J.",HIEU 161 - Topics in Roman History (A),SP14,4,2,100.0 %,100.0 %,7.5,B+ (3.50),N/A
"Caciola, Nancy A",HIEU 163 - Special Topics/Medievl History (A),SP14,15,7,100.0 %,100.0 %,7.64,B+ (3.43),N/A
"Edelman, Robert S.",HIEU 178 - Soviet History (A),SP14,10,3,100.0 %,100.0 %,7.83,B+ (3.67),N/A
"Strom, Megan C.",HILA 144 - Topics/Latin American History (A),SP14,4,4,100.0 %,100.0 %,4,B (3.00),N/A
"Goodblatt, David",HINE 170 - Special Tops/Jewish History (A),SP14,14,3,66.7 %,100.0 %,7.17,B+ (3.67),N/A
"Hanna, Mark G.",HITO 178 - Hist of Seafaring/Age of Sail (A),SP14,13,6,100.0 %,100.0 %,8.83,A- (3.83),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),SP14,1,1,0.0 %,0.0 %,0,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (A),SP14,8,1,100.0 %,100.0 %,0.5,N/A,N/A
"Parrish, Michael E.",HIUS 181 - Topics in 20th Century U.S. (A),SP14,10,3,100.0 %,100.0 %,4.5,B (3.00),N/A
"Lu, Weijing",HIEA 171 - Society & Culture/Premod China (A),WI14,7,1,100.0 %,100.0 %,6.5,N/A,N/A
"Strasser, Ulrike",No CAPEs submitted,WI14,2,0,N/A,N/A,N/A,N/A,N/A
"Van Young, Eric",HILA 162 - Special Topics/Latin Amer Hist (A),WI14,1,1,100.0 %,100.0 %,6.5,A (4.00),N/A
"Golan, Tal",HISC 180 - Science and Public Policy (A),WI14,6,1,100.0 %,100.0 %,8.5,A (4.00),N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),WI14,11,9,100.0 %,100.0 %,0.72,A (4.00),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (B),WI14,6,3,100.0 %,100.0 %,1.5,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (C),WI14,12,11,90.9 %,100.0 %,0.86,A (4.00),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (E),WI14,14,8,100.0 %,100.0 %,0.79,N/A,N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),WI14,8,4,100.0 %,100.0 %,6,A- (3.75),N/A
"Hughes, Judith M.",HIEU 150 - Modern British History (A),FA13,17,7,85.7 %,85.7 %,4.79,B+ (3.43),N/A
"Hughes, Judith M.",HIEU 174 - The Holocaust:Psychol Approach (A),FA13,12,4,75.0 %,75.0 %,7.5,A- (3.75),N/A
"Murillo, Dana V.",HILA 100 - LatAmer-Colonial Transformatns (A),FA13,18,6,100.0 %,100.0 %,7.5,A (4.00),N/A
"Hunefeldt, Christine",HILA 123 - The Incas and Their Ancestors (A),FA13,9,6,100.0 %,83.3 %,6.5,A- (3.83),N/A
"Monteon, Michael P.",HILA 163 - History of Chile:1880-Present (A),FA13,2,2,50.0 %,100.0 %,9.5,B+ (3.50),N/A
"Hunefeldt, Christine",HILA 164 - Women's Work & Family Life (A),FA13,4,2,50.0 %,100.0 %,8.5,B (3.00),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),FA13,1,1,0.0 %,0.0 %,0,N/A,N/A
